FP1,FP2,FP3,Race,Qual
5,1,1,19,2
2,2,2,1,1
3,3,5,2,3
4,4,4,4,9
8,5,16,9,8
20,6,8,6,6
10,7,3,18,4
18,8,14,11,12
7,9,6,3,5
19,10,7,5,7
16,11,11,15,13
12,12,18,7,11
1,13,13,20,10
9,14,20,8,16
11,15,9,10,15
6,16,10,12,19
14,17,12,17,17
17,18,15,14,18
13,19,19,16,20
15,20,17,13,14
2,2,2,1,4
1,1,1,2,2
4,3,4,3,3
15,6,14,5,6
10,11,9,16,7
3,9,5,15,8
7,4,3,4,1
19,13,12,20,14
9,5,11,10,16
20,20,8,9,10
13,7,19,7,11
8,8,6,6,5
5,12,7,8,9
6,10,10,19,20
14,17,13,11,13
12,14,15,13,15
16,16,18,12,18
11,15,16,17,12
18,18,20,18,19
17,19,17,14,17
0,1,2,1,1
0,3,6,2,3
0,6,7,4,4
0,2,4,5,6
0,8,12,20,11
0,10,14,15,18
0,5,1,3,2
0,17,18,16,13
0,4,3,18,5
0,18,17,17,16
0,11,5,6,7
0,7,11,7,8
0,19,15,14,17
0,15,13,11,12
0,13,19,12,15
0,14,16,8,14
0,12,9,10,9
0,9,8,9,10
0,20,20,19,20
0,16,10,13,19
3,1,2,1,1
2,2,7,6,4
1,5,3,3,2
4,8,6,4,8
14,7,5,5,6
20,18,15,19,20
10,10,1,2,3
18,20,20,17,15
9,6,12,20,7
17,17,17,16,18
13,3,4,12,10
16,16,9,7,5
8,13,18,13,19
12,12,19,14,13
5,4,16,11,14
15,15,8,8,16
7,9,11,15,11
11,19,13,18,17
6,11,14,10,9